% Model:              sjo1e12-ph2c-si-200617-pdms-chip-vol-8ul-001.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 20 2022, 15:15
% Dimension:          2
% Nodes:              28902
% Expressions:        3
% Description:        Mesh element number, Velocity field, x component, Velocity field, y component
% Length unit:        mm
% x                       y                        meshelement @ q=4        u (m/s) @ q=4            v (m/s) @ q=4
287.10772365644124        628.2285751128819        18                       2.6061521734874735E-8    -1.5385039690874936E-4
287.1028703719617         628.149958760681         16                       -1.9930691104621514E-22  -1.5292395626871926E-16
287.1028703719617         628.1237533099475        17                       -2.3078213138284592E-19  -6.891138339094501E-16
287.1028703719617         628.0975478592137        17                       3.1740604103233695E-19   -1.8090950849527005E-15
287.11423292384467        628.3071914650828        3                        5.221518502474297E-7     -3.3665103846413676E-4
287.1140608072196         628.2809860143492        11                       6.856218349552418E-7     -3.3055426394961774E-4
287.12701799197094        628.3171020359661        6                        -2.3672957784805244E-8   -6.103025062755132E-4
287.12735682367446        628.3432767391672        6                        1.0167834537833934E-6    -6.261803560689318E-4
287.1385673703088         628.3680309668496        17                       -2.1137462883313368E-8   -7.557490204594616E-4
287.1536121065079         628.3858078173291        20                       4.892410164625908E-8     -8.671303943029456E-4
287.1416889600543         628.326035377578         10                       5.187979895060785E-7     -7.79439408188026E-4
287.1076392031607         628.2023696621484        18                       -1.0148815173390189E-11  -1.5124195611390876E-4
287.10760780042386        628.1761642114146        19                       8.076992809454273E-8     -1.5005400128695754E-4
287.1138271234182         628.2547805636157        24                       -4.285701305068646E-7    -3.248393690038461E-4
287.11354759781665        628.2285751128819        27                       8.431769345198873E-8     -3.1757403656717067E-4
287.1075807681014         628.149958760681         23                       -1.9374023963621406E-10  -1.4865276763853383E-4
287.1028703719617         628.0713424084801        21                       4.504803681418338E-20    -3.0135642702559856E-16
287.1028703719617         628.0451369577464        25                       4.677716367686722E-20    2.925618427033817E-16
287.10756118329334        628.1237533099475        24                       -4.97296804252233E-8     -1.484924787368274E-4
287.10757775094464        628.0975478592137        24                       2.6167584607386772E-8    -1.4914539289610364E-4
287.12664763146796        628.2905807468077        12                       1.9774198542476937E-6    -6.031191007499381E-4
287.12390927895956        628.2621156430781        25                       -9.132836318129546E-7    -5.531314567320733E-4
287.1465904241544         628.3025964094115        16                       -1.1665956340193098E-6   -8.206115681982806E-4
287.179438411662          628.3858078173291        36                       -2.642384658169968E-7    -6.227216250883905E-4
287.15372062118536        628.3453245015688        18                       -2.120375932405877E-7    -8.34311577817477E-4
287.1647567090565         628.3666086848317        21                       6.475239012472246E-7     -7.80455918330791E-4
287.1599029903045         628.3227234590677        22                       -1.3228228442107085E-6   -8.138071437637798E-4
287.1028703719617         628.0189315070128        26                       2.3564408412045446E-20   5.37780366312471E-16
287.1028703719617         627.9927260562793        26                       -2.994314562011352E-20   -1.3325702934985214E-16
287.1028703719617         627.9665206055455        27                       -7.90047120709372E-21    -6.050880665330673E-17
287.1133618005995         628.2023696621484        26                       -3.0026118395351507E-7   -3.129581154265835E-4
287.11329271457845        628.1761642114146        42                       3.3960661460459333E-7    -3.1003048875162146E-4
287.1238405039241         628.2360175242668        27                       -4.749087336763352E-8    -5.520250025938811E-4
287.12368842320393        628.2117471550747        27                       4.774516357384541E-7     -5.502563249951992E-4
