139, -144181760, 61873.8343, 308.586900
140, -143930880, 61872.3084, 308.579290
141, -143678464, 61870.7825, 308.571680
142, -143466496, 61869.2566, 308.564070
143, -143336960, 61867.7307, 308.556460
144, -143333376, 61866.2049, 308.548850
145, -143495680, 61864.6790, 308.541240
146, -143861248, 61863.1531, 308.533630
147, -144462336, 61861.6272, 308.526020
148, -145326592, 61860.1013, 308.518409
149, -146472960, 61858.5755, 308.510799
150, -147912192, 61857.0496, 308.503189
151, -149647360, 61855.5237, 308.495579
152, -151671296, 61853.9978, 308.487969
153, -153966080, 61852.4720, 308.480359
154, -156505088, 61850.9461, 308.472749
155, -159251456, 61849.4202, 308.465139
156, -162160640, 61847.8943, 308.457529
157, -165178880, 61846.3684, 308.449919
158, -168246784, 61844.8426, 308.442308
159, -171298816, 61843.3167, 308.434698
160, -174266368, 61841.7908, 308.427088
161, -177079296, 61840.2649, 308.419478
162, -179667968, 61838.7390, 308.411868
163, -181964288, 61837.2132, 308.404258
164, -183904768, 61835.6873, 308.396648
165, -185433088, 61834.1614, 308.389038
166, -186499072, 61832.6355, 308.381428
167, -187063296, 61831.1096, 308.373818
168, -187097600, 61829.5838, 308.366207
169, -186585088, 61828.0579, 308.358597
170, -185521664, 61826.5320, 308.350987
171, -183917056, 61825.0061, 308.343377
172, -181793280, 61823.4803, 308.335767
173, -179186688, 61821.9544, 308.328157
174, -176143360, 61820.4285, 308.320547
175, -172722688, 61818.9026, 308.312937
176, -168992768, 61817.3767, 308.305327
177, -165028864, 61815.8509, 308.297717
178, -160913408, 61814.3250, 308.290106
179, -156731904, 61812.7991, 308.282496
180, -152570880, 61811.2732, 308.274886
181, -148517376, 61809.7473, 308.267276
182, -144653824, 61808.2215, 308.259666
183, -141058048, 61806.6956, 308.252056
184, -137799680, 61805.1697, 308.244446
185, -134940160, 61803.6438, 308.236836
186, -132528128, 61802.1179, 308.229226
187, -130600960, 61800.5921, 308.221615
188, -129181696, 61799.0662, 308.214005
189, -128280576, 61797.5403, 308.206395
190, -127891968, 61796.0144, 308.198785
191, -127997952, 61794.4886, 308.191175
192, -128566272, 61792.9627, 308.183565
193, -129551872, 61791.4368, 308.175955
194, -130898944, 61789.9109, 308.168345
195, -132542464, 61788.3850, 308.160735
196, -134410240, 61786.8592, 308.153125
197, -136422912, 61785.3333, 308.145514
198, -138500608, 61783.8074, 308.137904
199, -140560384, 61782.2815, 308.130294
200, -142521856, 61780.7556, 308.122684
201, -144308736, 61779.2298, 308.115074
202, -145849856, 61777.7039, 308.107464
203, -147082752, 61776.1780, 308.099854
204, -147953664, 61774.6521, 308.092244
205, -148421120, 61773.1263, 308.084634
206, -148454400, 61771.6004, 308.077024
207, -148037120, 61770.0745, 308.069413
208, -147164160, 61768.5486, 308.061803
209, -145845248, 61767.0227, 308.054193
210, -144101376, 61765.4969, 308.046583
211, -141965824, 61763.9710, 308.038973
212, -139482112, 61762.4451, 308.031363
213, -136703488, 61760.9192, 308.023753
214, -133690368, 61759.3933, 308.016143
215, -130508288, 61757.8675, 308.008533
216, -127226368, 61756.3416, 308.000922
217, -123915264, 61754.8157, 307.993312
218, -120644096, 61753.2898, 307.985702
219, -117480960, 61751.7639, 307.978092
220, -114486784, 61750.2381, 307.970482
221, -111717376, 61748.7122, 307.962872
222, -109219840, 61747.1863, 307.955262
223, -107032064, 61745.6604, 307.947652
224, -105181184, 61744.1346, 307.940042
225, -103683584, 61742.6087, 307.932432
226, -102544384, 61741.0828, 307.924821
227, -101757440, 61739.5569, 307.917211
228, -101304832, 61738.0310, 307.909601
229, -101159936, 61736.5052, 307.901991
230, -101285888, 61734.9793, 307.894381
231, -101637632, 61733.4534, 307.886771
